"","Regione","Capoluogo"
"1","Abruzzo","L'Aquila"
"2","Basilicata","Potenza"
"3","Calabria","Catanzaro"
"4","Campania","Napoli"
"5","Emilia-Romagna","Bologna"
"6","Friuli-Venezia Giulia","Trieste"
"7","Lazio","Roma"
"8","Liguria","Genova"
"9","Lombardia","Milano"
"10","Marche","Ancona"
"11","Molise","Campobasso"
"12","Piemonte","Torino"
"13","Puglia","Bari"
"14","Sardegna","Cagliari"
"15","Sicilia","Palermo"
"16","Toscana","Firenze"
"17","Trentino-Alto Adige","Trento"
"18","Umbria","Perugia"
"19","Valle d'Aosta","Aosta"
"20","Veneto","Venezia"
