,make,model,mileage,fuel-type,first-registration,price
0,mercedes-benz,a 250,20863,2,03-2021,33500
1,mercedes-benz,a 250,62071,b,05-2017,27514
2,mercedes-benz,a 250,38306,2,08-2021,32900
3,mercedes-benz,a 250,72000,b,07-2013,21900
4,mercedes-benz,a 250,62071,b,05-2017,27514
5,mercedes-benz,a 250,62071,b,05-2017,27514
6,mercedes-benz,a 250,62071,b,05-2017,27514
7,mercedes-benz,a 250,23781,2,06-2021,33800
8,mercedes-benz,a 250,18234,2,04-2022,32800
9,mercedes-benz,a 250,10205,2,09-2022,33800
10,mercedes-benz,a 250,39660,2,10-2020,32900
11,mercedes-benz,a 250,18234,2,04-2022,32800
12,mercedes-benz,a 250,71733,2,09-2020,31500
13,mercedes-benz,a 250,1,2,07-2023,46900
14,mercedes-benz,a 250,6375,2,09-2021,34500
15,mercedes-benz,a 250,19135,2,03-2022,33900
16,mercedes-benz,a 250,12000,2,09-2022,33500
17,mercedes-benz,a 250,80373,2,07-2020,31800
18,mercedes-benz,a 250,62071,b,05-2017,27514
19,mercedes-benz,a 250,14213,2,12-2020,33300
20,mercedes-benz,a 250,80996,o,07-2017,26300
21,mercedes-benz,a 250,68000,2,11-2020,33800
22,mercedes-benz,a 250,41529,2,05-2022,29900
23,mercedes-benz,a 250,5900,2,12-2020,39900
24,mercedes-benz,a 250,unknown,2,new,42400
25,mercedes-benz,a 250,35000,2,07-2021,33333
26,mercedes-benz,a 250,75673,2,03-2021,33600
27,mercedes-benz,a 250,34000,b,03-2021,37890
28,mercedes-benz,a 250,51986,2,06-2021,29900
29,mercedes-benz,a 250,38845,2,09-2020,32900
30,mercedes-benz,a 250,unknown,2,new,46300
31,mercedes-benz,a 250,120557,2,03-2021,29900
32,mercedes-benz,a 250,unknown,2,new,45300
33,mercedes-benz,a 250,unknown,2,new,43900
34,mercedes-benz,a 250,43378,2,04-2021,31900
35,mercedes-benz,a 250,77634,2,06-2020,32900
36,mercedes-benz,a 250,79829,2,03-2021,33000
37,mercedes-benz,a 250,32971,2,12-2021,34900
38,mercedes-benz,a 250,25349,2,11-2021,34900
39,mercedes-benz,a 250,0,o,new,56000
40,mercedes-benz,a 250,1,2,05-2023,41800
41,mercedes-benz,a 250,0,o,new,55500
42,mercedes-benz,a 250,0,o,new,56500
43,mercedes-benz,a 250,0,o,new,42900
44,mercedes-benz,a 250,0,o,new,55200
45,mercedes-benz,a 250,0,o,new,42300
46,mercedes-benz,a 250,0,o,new,43200
47,mercedes-benz,a 250,7700,2,03-2021,34890
48,mercedes-benz,a 250,35000,b,06-2020,36800
49,mercedes-benz,a 250,54390,2,05-2021,32500
50,mercedes-benz,a 250,81000,b,10-2016,23000
51,mercedes-benz,a 250,26000,b,10-2016,27800
52,mercedes-benz,a 250,95000,b,10-2013,20000
53,mercedes-benz,a 250,95000,b,10-2013,20000
54,mercedes-benz,a 250,22123,2,03-2022,35000
55,mercedes-benz,a 250,23000,2,03-2021,36999
56,mercedes-benz,a 250,19000,2,01-2021,31000
57,mercedes-benz,a 250,65000,2,03-2021,30900
58,mercedes-benz,a 250,69000,b,05-2013,20000
59,mercedes-benz,a 250,100000,b,04-2013,19000
60,mercedes-benz,a 250,39000,b,12-2018,34500
61,mercedes-benz,a 250,63000,b,05-2019,34995
62,mercedes-benz,a 250,58000,2,05-2021,31900
63,mercedes-benz,a 250,49800,b,09-2019,34500
64,mercedes-benz,a 250,70764,2,06-2020,28900
65,mercedes-benz,a 250,79500,b,03-2019,34200
66,mercedes-benz,a 250,40665,2,09-2020,29500
67,mercedes-benz,a 250,53560,b,01-2019,36400
68,mercedes-benz,a 250,13000,2,01-2021,37000
69,mercedes-benz,a 250,66000,2,03-2021,29500
70,mercedes-benz,a 250,36464,2,10-2020,31400
71,mercedes-benz,a 250,136000,b,07-2014,18000
72,mercedes-benz,a 250,40000,2,06-2021,33900
73,mercedes-benz,a 250,7000,2,12-2020,35000
74,mercedes-benz,a 250,40000,b,07-2019,32000
75,mercedes-benz,a 250,12770,2,08-2022,35100
